;	B1	B2	B3
	77	94	99
	79	98	103
	77	99	102
	76	94	99
	80	95	103
	80	96	107
	80	96	106
	79	95	105
	78	96	104
	77	95	103
	76	91	100
	74	89	97
	82	100	116
	81	99	114
	81	97	112
	80	97	111
	80	96	109
	79	95	108
	78	95	106
	77	93	104
	76	90	100
	74	88	97
	83	105	122
	83	103	120
	82	101	118
	82	100	116
	82	99	115
	81	98	114
	80	97	112
	78	96	110
	78	95	108
	77	92	105
	76	89	101
	74	87	98
	88	117	137
	86	114	133
	85	110	129
	84	107	124
	83	104	122
	83	103	120
	83	101	118
	83	100	117
	82	100	117
	80	99	115
	79	98	112
	78	95	110
	76	92	106
	75	89	102
	73	86	98
	92	123	141
	91	122	141
	89	119	140
	87	116	135
	86	112	130
	84	109	126
	82	105	123
	83	104	121
	83	103	119
	84	102	119
	83	102	118
	81	101	116
	80	98	112
	78	94	109
	76	91	105
	74	88	101
	72	85	98
	70	84	97
	91	119	140
	92	122	140
	93	124	141
	93	125	141
	92	124	141
	90	122	140
	89	116	135
	87	114	130
	84	110	126
	82	106	123
	83	106	121
	84	105	119
	86	103	118
	83	104	117
	82	101	114
	80	97	110
	78	94	106
	76	90	103
	74	86	100
	72	84	97
	70	84	96
	91	118	142
	91	120	143
	91	123	143
	91	124	142
	91	125	141
	92	126	141
	91	123	141
	89	119	139
	88	114	135
	86	111	130
	84	108	126
	83	104	123
	84	104	121
	84	104	119
	85	103	118
	83	102	117
	82	99	113
	80	95	109
	78	93	104
	76	89	101
	74	86	99
	73	86	96
	72	84	95
	88	114	143
	89	118	146
	90	120	146
	90	122	146
	90	123	146
	90	124	144
	90	124	143
	90	124	141
	90	124	141
	89	120	140
	88	116	138
	87	112	134
	86	110	131
	86	108	127
	85	104	124
	85	105	121
	85	104	119
	84	103	118
	83	101	116
	82	98	112
	81	96	108
	79	95	104
	77	91	101
	75	88	98
	74	88	96
	73	87	95
	90	118	141
	91	118	142
	91	120	144
	90	122	146
	90	122	145
	89	123	145
	89	124	144
	88	121	143
	88	122	142
	88	121	140
	89	119	139
	88	116	137
	87	114	135
	86	113	134
	86	111	133
	86	109	130
	87	107	126
	86	107	122
	85	104	119
	84	102	117
	83	101	115
	82	99	112
	80	98	108
	79	96	105
	77	93	101
	76	90	98
	75	89	95
	74	88	95
	73	88	95
	88	115	137
	89	116	140
	90	118	143
	90	120	145
	91	121	145
	90	122	146
	89	122	145
	89	121	145
	88	121	144
	87	119	143
	86	116	141
	86	116	140
	86	115	138
	87	114	136
	86	113	134
	86	113	133
	86	114	134
	86	112	135
	86	110	132
	86	109	127
	85	108	123
	84	105	120
	83	103	117
